Iteration, Elapsed Time, TX Diff Output Swing(mV), Port TXDIFFCTRL0[2:0], Port TXBUFDIFFCTRL0[2:0], TX Pre-Emphasis, Port TXPREEMPHASIS0[2:0], RX Equalization, Port RXEQMIX0[1:0], DFETAP1, DFETAP2, RX Sampling Point(tap), RX Sampling Point(UI), Attr PMA_CDR_SCAN, Link, # Bits, # Errs, BER
71, 00:1:13, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 70, 0.551, 6404046, 1, 9230090240, 87039477,  9.430E-003
72, 00:1:14, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 71, 0.559, 6404047, 1, 9272033280, 102701527,  1.108E-002
73, 00:1:15, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 72, 0.567, 6404048, 1, 9004646400, 116420339,  1.293E-002
74, 00:1:16, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 73, 0.575, 6404049, 1, 9266790400, 137382713,  1.483E-002
75, 00:1:17, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 74, 0.583, 640404A, 1, 9188147200, 160525230,  1.747E-002
76, 00:1:18, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 75, 0.591, 640404B, 0,  8.658E012,  8.658E012, 1
77, 00:1:19, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 76, 0.598, 640404C, 0,  8.700E012,  8.700E012, 1
78, 00:1:20, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 77, 0.606, 640404D, 0,  8.921E012,  8.921E012, 1
79, 00:1:21, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 78, 0.614, 640404E, 0,  8.918E012,  8.918E012, 1
80, 00:1:22, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 79, 0.622, 640404F, 0,  8.913E012,  8.913E012, 1
81, 00:1:23, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 80, 0.630, 6404050, 0,  8.901E012,  8.901E012, 1
82, 00:1:24, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 81, 0.638, 6404051, 0,  8.698E012,  8.698E012, 1
83, 00:1:25, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 82, 0.646, 6404052, 0,  8.659E012,  8.659E012, 1
84, 00:1:26, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 83, 0.654, 6404053, 0,  8.921E012,  8.921E012, 1
85, 00:1:27, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 84, 0.661, 6404054, 0,  8.927E012,  8.927E012, 1
86, 00:1:28, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 85, 0.669, 6404055, 0,  8.883E012,  8.883E012, 1
87, 00:1:29, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 86, 0.677, 6404056, 0,  8.935E012,  8.935E012, 1
88, 00:1:30, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 87, 0.685, 6404057, 0,  8.925E012,  8.925E012, 1
